nx ny nz f
0.101418338 -0.334952210 -0.936761089 17.415008409
0.787249256 0.535619498 0.305532914 2.799743266
0.490275782 -0.728248042 0.478836555 13.347781348
0.080610069 -0.729582993 0.679124932 3.101246072
0.313463120 0.582927564 0.749624125 6.212538832
0.416044837 -0.681764443 -0.601750728 10.748122827
0.581269304 0.720412558 -0.378327560 0.489433321
-0.019818973 -0.805062756 0.592858471 28.112126118
0.164591117 -0.712444701 0.682152704 23.191324769
-0.931249660 0.247482283 0.267444556 24.464249402
0.658498218 -0.691797701 0.296303962 0.500800515
0.780580784 0.112536201 0.614840828 14.961473354
0.660868810 -0.725778556 -0.191044245 58.037329102
0.302023814 -0.826745609 -0.474629660 10.406146786
0.059639008 -0.076388815 -0.995292890 28.364016509
0.624191556 -0.221305536 -0.749272155 23.832017505
-0.036189193 -0.691078479 0.721873174 3.104343244
0.927690889 0.354944857 -0.115774624 9.814130821
0.734867660 -0.590455386 0.333664443 48.681984741
0.489869682 -0.453091121 0.744806103 17.241041860
0.482245389 -0.687547498 0.542879197 23.587987260
-0.915709395 0.290059394 0.278104031 24.948393969
0.403781858 0.062164429 -0.912740815 14.516801468
0.178075508 -0.925198272 0.335107849 22.118710621
0.788632079 -0.256738383 -0.558699245 0.954206921
0.380782420 0.732424411 -0.564410517 0.883964992
0.746125536 -0.560429702 -0.359465207 34.616781100
-0.887991486 -0.400943214 0.225201378 9.429220409
0.379177619 -0.803899671 0.458224457 39.683374075
0.612971020 -0.493651923 0.616907049 26.819606356
0.252599097 -0.698537421 0.669506660 30.544423996
0.190461337 -0.803372745 0.564195633 12.666254871
0.776795516 -0.280216777 -0.563974542 8.360894381
0.403476297 0.472129061 -0.783773582 15.625556124
0.035463966 -0.785995354 0.617214396 5.312661907
-0.184476164 -0.323924814 -0.927923089 0.964132080
0.848574653 -0.454500129 0.270833325 12.507221053
0.677768983 -0.715548529 0.169173011 27.322873758
0.794244833 0.498436607 0.347470997 11.497134193
0.962544396 0.269222931 0.032051503 2.057912100
0.483109385 -0.846572405 0.223428929 30.479817215
0.485276009 0.275492527 0.829825923 12.706893086
0.406627183 -0.865905763 -0.291310046 30.703854019
-0.573022726 -0.475036249 -0.667821472 1.337638983
-0.065013240 -0.797658409 0.599595147 4.594968359
0.235055311 -0.519588341 0.821448085 24.341097644
0.724810135 0.311874267 0.614316458 4.852161721
0.895116978 -0.010044376 -0.445718192 18.235563903
0.615602885 0.219719759 0.756806656 9.675296603
-0.963670449 0.257817604 0.069780720 16.735010600
-0.322994970 -0.946182373 -0.020326518 8.220021121
0.463626221 -0.857560447 -0.222802172 12.837202167
0.879828824 0.471060417 -0.063271823 3.205471755
-0.062756736 -0.231153009 0.970891280 27.050518041
0.963413377 -0.167889286 -0.208920683 9.337078760
0.836284658 0.039170389 0.546894553 21.731599206
0.491152848 0.727514115 -0.479053330 3.360823555
0.158946509 -0.986892637 0.027909315 43.618492247
0.650757806 0.032938105 -0.758570603 0.802649779
0.754025429 0.197309965 0.626509720 22.534552204
0.359582659 -0.647849802 0.671558594 37.759291818
0.602681115 -0.797596489 -0.024805529 6.965912998
0.404286928 -0.051963184 0.913154920 44.652057544
-0.084995125 -0.472995317 -0.876955677 45.432875016
0.935180802 0.304314519 0.181189239 4.800472150
0.636127674 0.703921356 -0.315968839 11.061824534
0.425780035 -0.904826353 0.000795868 10.288681651
-0.993544487 -0.110981849 -0.023502818 8.722755541
0.563456755 -0.716682446 -0.410953474 12.276185356
0.524089707 0.183452255 0.831670157 14.876305465
0.233290258 -0.741828584 -0.628701844 8.877502031
0.795255753 -0.604125618 0.050995346 18.442861775
0.166851296 -0.933876825 -0.316282659 1.631657952
0.501332052 -0.573700256 -0.647714590 4.526326404
-0.939027553 -0.273307476 -0.208639110 9.234078145
0.534608151 0.407634178 0.740289471 8.928367398
0.426563910 -0.838161938 -0.339893802 19.121315952
0.673032878 0.455873512 -0.582414017 3.675766930
0.102709951 -0.792449777 0.601227092 2.427531586
0.977989138 0.197806181 -0.066407538 0.374596203
0.310608714 0.918053852 0.246372383 5.996034547
0.444652876 -0.645095133 -0.621398494 21.093874219
0.260095563 0.619172751 -0.740928743 3.553292689
-0.189246248 -0.760692640 -0.620912688 7.816137985
0.284506882 -0.556484040 0.780628816 15.442650771
0.920916325 0.362439459 -0.143355369 13.682083860
0.309611920 -0.399456642 0.862887507 3.491741903
0.466464332 -0.257472445 0.846238127 32.258945399
0.654662816 -0.069689918 -0.752701742 15.686376482
0.716544227 -0.141106165 -0.683120357 25.655833058
0.421510832 -0.408450891 -0.809627376 13.987433049
0.907198460 -0.365971605 -0.207498767 55.363531081
0.327257829 -0.877299240 0.351067453 49.298203625
0.513994504 0.664018984 0.543036314 8.651701805
0.631154984 -0.333974503 -0.700074580 7.712840895
-0.782095576 -0.148536966 0.605196894 14.390459439
0.544257024 -0.257053350 0.798566132 11.041328200
0.621779574 0.018938061 -0.782963288 2.889149869
0.541252651 -0.037982228 0.840001737 20.340441171
0.086570389 0.369089477 0.925353190 5.306560594
0.452959055 -0.074194630 -0.888438659 16.104965050
-0.300816707 0.329301219 -0.895025148 0.090806315
0.585899650 -0.655065699 -0.477085454 25.897545605
0.357466646 -0.018589099 -0.933740886 24.628170358
0.882428674 -0.130007823 0.452125647 20.418316240
0.238103363 -0.720246756 0.651576089 7.970510994
0.769990347 0.598339128 0.221596825 7.845136212
0.673038016 -0.183279189 -0.716539299 5.964953088
0.675979786 0.596041263 -0.433342983 13.758624236
0.874324860 0.321554339 0.363536583 2.503001210
0.415066607 0.225393480 -0.881429232 27.364225533
0.619008495 -0.661868344 0.422798744 80.796600041
0.743751045 0.255193753 -0.617827267 5.267509022
0.178778664 0.480534014 -0.858559987 12.213454164
0.300656009 -0.284931460 -0.910175822 9.139279079
0.751588280 -0.269386806 0.602117768 3.051227239
0.819078655 0.512626398 0.257535112 13.308767560
0.528460360 -0.410074424 -0.743349591 2.506274433
0.411758650 -0.768343519 0.490003113 9.879788144
0.212394168 -0.696057819 -0.685851464 8.966449938
0.648282847 -0.752837460 -0.113864431 73.253418889
0.749665153 0.436083211 0.497828878 12.317521390
0.755192824 0.025536414 -0.655005106 13.486986468
0.651237779 -0.244012801 0.718572967 25.992410015
0.506704263 0.216363513 -0.834528382 18.589477950
0.719479250 0.047519885 -0.692886333 23.940037047
0.330754654 -0.747508778 0.576048597 24.725323064
0.583280592 -0.679916884 -0.444406100 11.598179562
0.784480145 -0.262086177 -0.562051367 3.708146914
0.812900298 0.202571604 0.546038323 5.594548874
0.294134275 -0.941338939 -0.165426811 14.800860273
-0.026893740 -0.267576362 -0.963161262 7.907245233
0.223121577 -0.679515140 -0.698910535 37.072043135
0.856055783 -0.509852329 0.084965277 58.341958885
0.977338094 -0.209892889 0.027481346 45.369429874
-0.744518691 0.578403744 -0.333378204 15.781526533
0.604172651 -0.323449040 0.728255536 14.147194288
0.242633018 -0.913456392 0.326690431 0.364749534
0.782705849 0.563929863 -0.263352735 10.255472377
-0.060106283 -0.736418820 0.673850545 18.149557156
0.746405812 -0.300053037 0.594008870 10.745912008
-0.041856942 -0.166513690 0.985150337 5.886570946
0.671722461 0.481500876 0.562979434 13.187154606
0.315556287 0.772500025 -0.551060741 27.165354646
0.422803089 -0.902320872 -0.083991618 37.852126050
-0.881911335 0.262137340 0.391811704 11.358032237
0.589166030 -0.641503477 0.491280651 22.513186783
0.471804365 0.801792478 -0.366782585 11.441333838
0.095164454 -0.536459008 -0.838543654 28.076755075
0.458703942 -0.698460946 0.549311388 24.161009370
0.443851595 -0.610096174 -0.656337124 17.434168165
0.898963401 -0.437475916 0.021900373 28.591740745
0.955157686 0.056302097 0.290695493 15.321974479
-0.114076752 -0.821680760 0.558414921 14.777501340
-0.036431009 0.817390670 -0.574930668 19.538837217
-0.046315759 -0.909607548 0.412878866 11.913159164
-0.103782703 -0.921738471 0.373667421 16.650381283
0.352236470 0.920634680 0.168408000 2.769560279
0.809772154 0.067006006 0.582905871 15.502875103
0.205762886 0.764970829 0.610312433 11.205151893
0.465343161 -0.199328306 -0.862394324 14.573409374
0.869877012 0.436015366 -0.230661190 1.117869346
-0.119195585 -0.975563905 0.184573780 15.533388221
0.640551743 0.595812197 -0.484459793 20.589431512
0.790069169 -0.604364336 0.102637505 39.786024553
0.354535777 -0.623036609 -0.697230067 12.985924045
-0.016431644 -0.454249590 -0.890722915 12.876158849
-0.032147773 -0.887503671 0.459677881 15.540788315
0.537440073 0.780694538 0.318863931 7.146692936
-0.146486733 -0.987791640 -0.053002962 14.646566477
0.745472943 -0.666183683 0.021665440 1.062698599
0.898972274 -0.404389986 0.168278309 13.810855287
0.083441698 -0.390839280 -0.916669046 9.513260461
-0.185839824 -0.877269203 -0.442563334 3.019428676
-0.656406535 -0.751109308 -0.070464665 3.847225268
0.516026502 0.487413741 0.704375251 14.173384740
0.173272071 0.323484719 -0.930233533 1.829451812
0.340612733 -0.581176094 -0.739065162 13.747899384
0.901007815 0.129096651 0.414148490 3.710062440
0.689109042 -0.277802690 0.669293952 59.296622141
0.784567668 0.499396206 -0.367501025 1.537514749
0.681764037 -0.706754327 0.188934167 55.736396817
0.394585110 -0.107105857 0.912595708 1.136990432
0.557775349 -0.554081154 -0.617964995 29.504376742
0.266324418 -0.462152068 -0.845864510 15.349961309
0.333779018 -0.692981745 0.639036673 35.987973272
-0.119574918 -0.476029663 -0.871262073 7.096508656
0.648788925 -0.572699907 0.501086566 13.241250548
0.083218217 -0.945612208 -0.314471431 13.359870226
0.688026172 -0.404410151 0.602554908 1.965499465
0.673753854 0.708023169 0.211563081 0.781075352
0.231577861 -0.763375509 -0.603017020 31.906184581
0.950521347 0.182103002 -0.251689622 9.799519600
0.560059588 -0.565335156 0.605581884 3.376179345
0.196992999 -0.848242505 0.491607985 10.361124810
0.887653042 0.074192134 -0.454497089 10.679325074
0.850884927 0.428894704 -0.303387828 11.372764832
0.173768171 -0.967369840 0.184391471 20.895864074
0.480482159 0.733622305 0.480557186 4.831800128
0.337043510 -0.152234836 -0.929099686 19.482800986
