nx ny nz f
0.344315255 -0.175149006 -0.922371851 0.205767885
0.422908756 0.450839496 -0.786061024 0.064246771
0.849533374 -0.487408571 -0.201806671 0.063314639
0.808753004 0.412408372 0.419330314 0.054655721
0.587667361 -0.645962340 0.487216305 0.114511106
0.294497547 -0.711371219 0.638139627 0.031209467
0.221204172 0.605883160 0.764182119 0.051496195
0.232838279 0.882528335 -0.408570770 0.002581017
0.446189328 -0.772516165 -0.451811751 0.009842101
0.229802026 0.738828589 -0.633500864 0.008169222
0.201139068 -0.827439032 0.524297361 0.224955776
0.183352285 -0.798532235 0.573348245 0.017524366
-0.931998783 0.196800084 0.304381332 0.197339653
0.734676073 0.354965601 -0.578144004 0.072773002
0.749930462 -0.642041756 0.159331997 0.036301155
0.188362814 -0.628656934 0.754526281 0.132419511
0.714538488 0.381935812 0.586139731 0.014166012
0.734523191 0.311688633 -0.602765193 0.088701527
0.747850279 -0.642082806 -0.168670180 0.023695804
0.269038345 -0.838076383 -0.474601248 0.034421198
0.342315687 -0.328979428 0.880109372 0.005983484
0.101932558 -0.049784307 -0.993544803 0.045891474
0.646483629 -0.310855607 -0.696726423 0.076939126
-0.353102990 -0.787981027 -0.504384952 0.000090615
0.227047892 -0.661457566 0.714788880 0.053068172
0.907397208 0.408356686 -0.099373656 0.019920712
0.710386627 0.409432920 -0.572464430 0.011899413
0.754685746 -0.545664665 0.364279423 0.241547316
0.073301567 -0.923964588 -0.375388227 0.033756311
0.571094952 0.818525396 0.062183053 0.070765952
0.610447300 -0.451687104 0.650640341 0.069421548
0.789323159 0.612303384 -0.045315745 0.081184226
0.548053249 -0.638225791 0.540652824 0.022077215
0.864900520 0.086178744 0.494489954 0.032716596
0.913120481 0.407520412 -0.011751628 0.044528429
0.375075849 0.095406715 -0.922071400 0.190827181
0.224304015 -0.911161199 0.345648634 0.012258036
0.709032313 -0.428316366 -0.560194851 0.050763877
0.273402462 0.812667222 -0.514609638 0.067313873
0.838547853 -0.490199352 -0.237785813 0.138705470
-0.856411815 -0.514734419 0.040090925 0.132887126
0.122840369 -0.872162812 0.473542261 0.003932130
0.259053378 -0.943419888 -0.207003050 0.037696668
0.640972858 0.721061901 -0.263103648 0.085220989
0.493186629 -0.703640211 0.511524587 0.130594799
0.672445838 -0.468799571 0.572750868 0.059605549
0.577543248 -0.564327046 0.589897264 0.149020631
0.537937222 0.699932232 -0.469806786 0.124453104
0.333069169 -0.760401561 0.557543177 0.030273026
0.770038985 -0.315897403 -0.554300273 0.220303055
0.324615478 0.340377246 -0.882478397 0.187933060
0.391246559 -0.751687071 0.530935662 0.209661101
-0.097489137 -0.393989575 -0.913930021 0.066105485
0.707179539 0.478613240 -0.520409902 0.004399087
0.917270835 -0.326343415 0.228285327 0.006580926
0.715791593 -0.675789896 0.175927293 0.091238486
0.685406918 0.671271886 0.282154942 0.125967160
0.654109249 -0.463358517 -0.597862840 0.034190498
